theta=0.1,theta=0.2,theta=0.3,theta=0.4,theta=0.5,theta=0.6,theta=0.7,theta=0.8,theta=0.9
4.457044927582583e-05,5.9048543736248505e-05,7.997390408141705e-05,0.00011680694011216381,0.00017503117491798328,0.00027658965957133076,0.00045247007784862914,0.0005627743302350339,3.52213729556933e-05
2.274699414204626e-05,2.9240127787842775e-05,3.990343900147142e-05,5.863356182282367e-05,8.745045258242889e-05,0.00013985670765683268,0.0002270835862058064,0.00027779616194764645,1.758449807782433e-05
1.6185003824660347e-05,2.0744951113265488e-05,2.8692321296203892e-05,4.123969010717765e-05,6.271024970706166e-05,9.985519858634077e-05,0.00016212393626956185,0.0001996211925746799,1.2325538809274505e-05
1.1270225607038497e-05,1.4717888487263764e-05,2.0177201448550797e-05,2.8811306278630156e-05,4.444058543411451e-05,7.144122990660442e-05,0.00011384447837435943,0.00014103882657840643,8.758050733602118e-06
5.506794624702316e-06,7.328722960524558e-06,1.001471456453249e-05,1.4478715336138847e-05,2.174133558895548e-05,3.528834836245558e-05,5.733691152937013e-05,7.016745529754154e-05,4.342784890151685e-06
