#TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base NPV,Delta,Gamma
EQ_2017-02-05_2000.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,1080.157692,550.734644,-86.507524
EQ_2017-02-05_2007.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,1070.586487,554.318938,-81.515969
EQ_2017-02-05_2015.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,1057.123001,559.147412,-71.743303
EQ_2017-02-05_2022.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,1044.135441,563.792444,-61.701678
EQ_2017-02-05_2029.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,1032.651623,567.932008,-52.969104
EQ_2017-02-05_2037.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,1019.346103,572.624536,-41.565423
EQ_2017-02-05_2044.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,1006.401383,577.17465,-30.514869
EQ_2017-02-05_2051.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,993.898904,581.560365,-20.056994
EQ_2017-02-05_2059.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,982.270067,585.652624,-10.766105
EQ_2017-02-05_2066.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,968.289789,590.439862,1.571204
EQ_2017-02-05_2074.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,957.518403,594.226464,9.698985
EQ_2017-02-05_2081.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,945.473749,598.377978,19.464945
EQ_2017-02-05_2088.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,930.918844,603.252586,32.464484
EQ_2017-02-05_2096.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,919.430214,607.189708,41.482482
