#TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base NPV,Delta,Gamma
EQ_2017-02-05_2000.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,1081.732378,550.213768,-88.110662
EQ_2017-02-05_2007.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,1069.152807,554.779897,-79.988217
EQ_2017-02-05_2015.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,1057.66606,558.966971,-72.390634
EQ_2017-02-05_2022.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,1044.358456,563.715919,-61.996524
EQ_2017-02-05_2029.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,1032.005976,568.131731,-52.158639
EQ_2017-02-05_2037.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,1019.003405,572.727203,-41.136375
EQ_2017-02-05_2044.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,1007.244547,576.906451,-31.640979
EQ_2017-02-05_2051.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,995.113307,581.179367,-21.667231
EQ_2017-02-05_2059.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,981.327679,585.936919,-9.554259
EQ_2017-02-05_2066.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,969.712066,590.002232,-0.30354
EQ_2017-02-05_2074.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,956.600712,594.498712,10.874087
EQ_2017-02-05_2081.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,944.765604,598.585202,20.365478
EQ_2017-02-05_2088.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,932.173327,602.875258,30.817697
EQ_2017-02-05_2096.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,919.483848,607.169009,41.392848
EQ_2017-02-05_2103.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,906.70812,611.462636,52.321642
EQ_2017-02-05_2110.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,895.06845,615.401701,62.423756
EQ_2017-02-05_2118.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,882.348124,619.631239,75.21398
EQ_2017-02-05_2125.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,869.939502,623.746918,88.921306
EQ_2017-02-05_2132.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,858.400787,627.593396,102.420032
EQ_2017-02-05_2140.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,845.438185,631.81964,119.619928
EQ_2017-02-05_2147.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,832.509913,636.010598,137.893358
EQ_2017-02-05_2154.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,819.717732,640.138443,156.843352
EQ_2017-02-05_2162.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,807.552934,644.070227,175.26982
EQ_2017-02-05_2169.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,794.714229,648.162618,195.701943
EQ_2017-02-05_2176.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,782.463666,652.072582,215.409497
EQ_2017-02-05_2184.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,770.062884,656.000455,235.853898
EQ_2017-02-05_2191.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,757.825134,659.862814,256.291683
EQ_2017-02-05_2199.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,744.817697,663.904472,278.713695
EQ_2017-02-05_2206.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,732.635911,667.707267,299.565882
EQ_2017-02-05_2213.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,719.465486,671.742304,322.821143
EQ_2017-02-05_2221.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,707.568228,675.427932,343.41363
EQ_2017-02-05_2228.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,695.22686,679.205425,365.139488
EQ_2017-02-05_2235.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,682.587363,683.035646,387.654215
EQ_2017-02-05_2243.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,670.363228,686.73987,409.337354
EQ_2017-02-05_2250.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,658.16667,690.415959,431.04233
EQ_2017-02-05_2257.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,645.815573,694.108723,453.163564
EQ_2017-02-05_2265.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,632.70602,697.962561,477.049521
EQ_2017-02-05_2272.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,620.538255,701.566144,498.863716
EQ_2017-02-05_2279.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,607.986132,705.240049,521.578691
EQ_2017-02-05_2287.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,595.053632,708.980687,545.176388
EQ_2017-02-05_2294.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,582.959982,712.501729,566.91395
EQ_2017-02-05_2301.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,570.693681,716.042374,589.054147
EQ_2017-02-05_2309.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,558.397289,719.568408,611.273799
EQ_2017-02-05_2316.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,546.250615,723.038971,633.16599
EQ_2017-02-05_2324.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,533.488182,726.626572,656.435967
EQ_2017-02-05_2331.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,520.11183,730.326892,681.068383
EQ_2017-02-05_2338.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,507.968937,733.729763,702.946751
EQ_2017-02-05_2346.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,496.049962,737.062639,724.322499
EQ_2017-02-05_2353.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,483.910863,740.422324,746.180197
EQ_2017-02-05_2360.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,471.100678,743.904117,769.511011
EQ_2017-02-05_2368.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,458.945874,747.223383,791.376236
EQ_2017-02-05_2375.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,446.916235,750.493483,812.954266
EQ_2017-02-05_2382.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,433.259654,754.081119,838.08985
EQ_2017-02-05_2390.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,421.847238,757.1777,858.276592
EQ_2017-02-05_2397.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,408.531819,760.642619,882.614573
EQ_2017-02-05_2404.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,396.554492,763.810144,904.000846
EQ_2017-02-05_2412.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,384.343702,767.001381,925.877372
EQ_2017-02-05_2419.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,372.05996,770.183445,947.889866
EQ_2017-02-05_2426.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,360.359946,773.225489,968.614285
EQ_2017-02-05_2434.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,347.078871,776.552414,992.740075
EQ_2017-02-05_2441.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,335.622445,779.49693,1012.894781
EQ_2017-02-05_2449.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,322.506868,782.735626,1036.603423
EQ_2017-02-05_2456.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,309.427693,785.935591,1060.201093
EQ_2017-02-05_2463.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,298.062713,788.782892,1080.091656
EQ_2017-02-05_2471.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,285.775571,791.775407,1101.935446
EQ_2017-02-05_2478.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,274.365085,794.577019,1121.880615
EQ_2017-02-05_2485.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,261.599655,797.594262,1144.693193
EQ_2017-02-05_2493.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,248.621659,800.611836,1167.926579
EQ_2017-02-05_2500.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,236.834233,803.379923,1188.601904
EQ_2017-02-05_2507.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,224.691588,806.174531,1210.004196
