#TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base NPV,Delta,Gamma
EQ_2017-02-05_2588.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,94.009547,832.603996,1438.02617
EQ_2017-02-05_2596.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,80.098278,834.607448,1462.765057
EQ_2017-02-05_2603.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,72.024572,835.735287,1475.466594
EQ_2017-02-05_2610.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,63.10437,836.792685,1489.904774
EQ_2017-02-05_2618.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,50.03439,837.880806,1512.847279
EQ_2017-02-05_2625.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,40.012849,838.286467,1529.53153
EQ_2017-02-05_2632.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,32.236925,838.200061,1541.618256
EQ_2017-02-05_2640.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,23.4663,837.447339,1555.745025
EQ_2017-02-05_2647.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,14.253176,835.362595,1570.788323
EQ_2017-02-05_2654.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,7.244549,831.746892,1581.35399
EQ_2017-02-05_2662.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,4.004872,828.198048,1584.263577
EQ_2017-02-05_2669.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,0.303852,817.418223,1588.215831
EQ_2017-02-05_2676.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,0.150561,814.431022,1584.880629
EQ_2017-02-05_2684.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,0.000038,803.356239,1581.624792
EQ_2017-02-05_2691.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,0,789.085957,1578.021994
EQ_2017-02-05_2699.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,0,787.514579,1574.38931
EQ_2017-02-05_2706.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,0,785.976114,1570.768396
EQ_2017-02-05_2713.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,0,784.393345,1567.159234
EQ_2017-02-05_2721.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,0,782.784288,1563.561782
EQ_2017-02-05_2728.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,0,781.169414,1559.975988
EQ_2017-02-05_2735.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,0,779.548417,1556.401804
EQ_2017-02-05_2743.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,0,777.919232,1552.839188
EQ_2017-02-05_2750.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,0,776.286711,1549.288088
