#TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base NPV,Delta,Gamma
EQ_2016-05-05_2000.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,897.793032,327.395317,-15.554897
EQ_2016-05-05_2007.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,884.778271,329.347029,-14.284003
EQ_2016-05-05_2015.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,872.039333,331.253597,-13.010863
EQ_2016-05-05_2022.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,859.17364,333.158807,-11.649623
EQ_2016-05-05_2029.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,846.223394,335.057782,-10.199259
EQ_2016-05-05_2037.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,833.273349,336.941629,-8.669293
EQ_2016-05-05_2044.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,820.53152,338.789776,-7.103762
EQ_2016-05-05_2051.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,807.604846,340.641901,-5.393927
EQ_2016-05-05_2059.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,794.839602,342.463893,-3.618637
EQ_2016-05-05_2066.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,781.891559,344.289225,-1.665238
EQ_2016-05-05_2074.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,769.096416,346.085964,0.38405
EQ_2016-05-05_2081.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,756.086563,347.888488,2.671276
EQ_2016-05-05_2088.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,743.163371,349.668916,5.123572
EQ_2016-05-05_2096.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,730.444972,351.417478,7.715562
EQ_2016-05-05_2103.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,717.508316,353.171698,10.656309
EQ_2016-05-05_2110.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,704.710844,354.900489,13.838301
EQ_2016-05-05_2118.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,691.819472,356.623937,17.425895
EQ_2016-05-05_2125.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,678.964641,358.33115,21.420092
EQ_2016-05-05_2132.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,666.048387,360.030211,25.957681
EQ_2016-05-05_2140.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,653.170791,361.713183,31.06105
EQ_2016-05-05_2147.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,640.33374,363.380251,36.801697
EQ_2016-05-05_2154.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,627.458449,365.037608,43.296581
EQ_2016-05-05_2162.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,614.628051,366.679161,50.447136
EQ_2016-05-05_2169.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,601.658843,368.318324,58.275678
EQ_2016-05-05_2176.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,588.886374,369.93126,66.140332
EQ_2016-05-05_2184.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,576.030396,371.538074,74.123039
EQ_2016-05-05_2191.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,563.162153,373.133787,82.107645
EQ_2016-05-05_2199.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,550.303417,374.717079,90.070322
EQ_2016-05-05_2206.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,537.311679,376.297125,98.162754
EQ_2016-05-05_2213.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,524.530263,377.852344,106.020071
EQ_2016-05-05_2221.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,511.675795,379.40085,113.972002
EQ_2016-05-05_2228.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,498.832665,380.937533,122.304253
EQ_2016-05-05_2235.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,486.023287,382.461326,131.758061
EQ_2016-05-05_2243.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,473.136819,383.978666,142.932888
EQ_2016-05-05_2250.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,460.224401,385.486612,155.788635
EQ_2016-05-05_2257.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,447.391749,386.979697,169.94887
EQ_2016-05-05_2265.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,434.498847,388.465543,185.384473
EQ_2016-05-05_2272.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,421.678359,389.93753,201.637765
EQ_2016-05-05_2279.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,408.803493,391.402198,218.745032
EQ_2016-05-05_2287.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,395.896781,392.858444,236.520558
EQ_2016-05-05_2294.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,383.058063,394.301849,254.654426
