#TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base NPV,Delta,Gamma
EQ_2017-02-05_2000.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,1081.860753,550.171996,-88.238333
EQ_2017-02-05_2007.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,1069.373577,554.708415,-80.226406
EQ_2017-02-05_2015.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,1056.802097,559.245931,-71.387077
EQ_2017-02-05_2022.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,1044.534245,563.659976,-62.212779
EQ_2017-02-05_2029.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,1032.493505,567.977305,-52.784545
EQ_2017-02-05_2037.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,1019.572286,572.548491,-41.880557
EQ_2017-02-05_2044.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,1006.965384,576.993867,-31.273658
EQ_2017-02-05_2051.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,994.638530,581.326656,-21.044389
EQ_2017-02-05_2059.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,981.845672,585.778212,-10.230183
EQ_2017-02-05_2066.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,969.706232,590.004274,-0.294887
EQ_2017-02-05_2074.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,957.017582,594.373118,10.332400
EQ_2017-02-05_2081.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,944.788596,598.578588,20.336648
EQ_2017-02-05_2088.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,932.317246,602.832765,30.632052
EQ_2017-02-05_2096.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,919.777017,607.082913,41.012315
EQ_2017-02-05_2103.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,907.445049,611.247656,51.332506
EQ_2017-02-05_2110.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,894.827903,615.471635,62.769210
EQ_2017-02-05_2118.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,882.424313,619.609585,75.097190
EQ_2017-02-05_2125.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,869.349747,623.915120,89.908792
EQ_2017-02-05_2132.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,857.493927,627.849894,104.030877
EQ_2017-02-05_2140.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,844.739541,632.015648,120.928113
EQ_2017-02-05_2147.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,832.557001,635.997776,137.802770
EQ_2017-02-05_2154.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,819.511904,640.195323,157.259560
EQ_2017-02-05_2162.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,807.330417,644.131222,175.730473
EQ_2017-02-05_2169.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,794.900124,648.112633,195.311032
EQ_2017-02-05_2176.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,782.394235,652.091465,215.559208
EQ_2017-02-05_2184.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,769.969296,656.025640,236.057400
EQ_2017-02-05_2191.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,757.049001,660.067585,257.990712
EQ_2017-02-05_2199.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,745.360342,663.762993,277.518621
EQ_2017-02-05_2206.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,732.793003,667.666784,299.219184
EQ_2017-02-05_2213.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,720.258854,671.538938,321.055383
