#TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base NPV,Delta,Gamma
EQ_2016-05-05_2000.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,896.912123,327.49537,-15.381207
EQ_2016-05-05_2007.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,885.296195,329.294019,-14.381312
EQ_2016-05-05_2015.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,872.655501,331.19096,-13.133136
EQ_2016-05-05_2022.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,860.85939,332.984804,-12.010351
EQ_2016-05-05_2029.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,846.833792,334.997828,-10.333079
EQ_2016-05-05_2037.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,833.144691,336.957612,-8.630901
EQ_2016-05-05_2044.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,819.934629,338.85209,-6.942339
EQ_2016-05-05_2051.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,806.527899,340.75001,-5.090522
EQ_2016-05-05_2059.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,794.144444,342.53351,-3.407767
EQ_2016-05-05_2066.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,782.040197,344.277983,-1.702399
EQ_2016-05-05_2074.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,770.040555,346.001059,0.081272
EQ_2016-05-05_2081.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,756.223794,347.878714,2.63239
EQ_2016-05-05_2088.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,742.193626,349.758053,5.512202
EQ_2016-05-05_2096.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,731.885321,351.293632,7.127465
EQ_2016-05-05_2103.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,717.831618,353.1465,10.521156
EQ_2016-05-05_2110.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,703.46917,355.007483,14.481358
EQ_2016-05-05_2118.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,692.103153,356.603015,17.284106
EQ_2016-05-05_2125.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,678.655797,358.358612,21.626958
EQ_2016-05-05_2132.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,667.045309,359.953502,25.29848
EQ_2016-05-05_2140.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,651.53751,361.841972,32.341072
EQ_2016-05-05_2147.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,640.347235,363.381587,36.81233
EQ_2016-05-05_2154.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,627.076283,365.068314,43.679207
EQ_2016-05-05_2162.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,615.494204,366.61837,49.599089
EQ_2016-05-05_2169.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,602.426034,368.26598,57.491449
EQ_2016-05-05_2176.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,588.826817,369.937599,66.230743
EQ_2016-05-05_2184.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,575.853183,371.552256,74.338987
EQ_2016-05-05_2191.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,561.804797,373.225544,83.58131
EQ_2016-05-05_2199.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,550.54582,374.703489,89.838881
EQ_2016-05-05_2206.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,537.500754,376.287252,97.988358
EQ_2016-05-05_2213.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,525.818824,377.774923,104.678615
EQ_2016-05-05_2221.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,511.646645,379.404563,114.029894
EQ_2016-05-05_2228.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,499.049023,380.926838,122.084632
EQ_2016-05-05_2235.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,484.728951,382.536428,133.455459
EQ_2016-05-05_2243.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,473.742413,383.947022,142.099599
EQ_2016-05-05_2250.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,460.126182,385.493691,155.974748
EQ_2016-05-05_2257.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,447.614383,386.969853,169.609403
EQ_2016-05-05_2265.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,434.416551,388.471438,185.563151
EQ_2016-05-05_2272.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,424.757526,389.786384,196.06955
EQ_2016-05-05_2279.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,409.869432,391.352901,216.780004
EQ_2016-05-05_2287.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,396.381397,392.837668,235.626323
EQ_2016-05-05_2294.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,381.536966,394.370939,257.651908
EQ_2016-05-05_2301.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,369.885028,395.751805,273.875341
EQ_2016-05-05_2309.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,357.799156,397.14458,291.234672
EQ_2016-05-05_2316.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,343.417656,398.622959,313.432423
EQ_2016-05-05_2324.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,331.353584,399.998274,331.219142
EQ_2016-05-05_2331.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,320.51611,401.320202,346.695316
EQ_2016-05-05_2338.0,FALSE,EquityVolatility/TSLA/0/3M/2000,0,,0,EUR,306.901517,402.740776,367.927201
