#TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base NPV,Delta,Gamma
EQ_2016-05-05_2000.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,897.670296,327.409107,-15.531040
EQ_2016-05-05_2007.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,884.684012,329.357511,-14.264707
EQ_2016-05-05_2015.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,871.886222,331.270183,-12.978373
EQ_2016-05-05_2022.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,859.189576,333.157403,-11.652557
EQ_2016-05-05_2029.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,846.286737,335.051517,-10.213279
EQ_2016-05-05_2037.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,833.383093,336.930771,-8.695383
EQ_2016-05-05_2044.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,820.444813,338.798667,-7.080791
EQ_2016-05-05_2051.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,807.678414,340.634954,-5.413315
EQ_2016-05-05_2059.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,794.744269,342.473309,-3.590212
EQ_2016-05-05_2066.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,781.892102,344.289419,-1.664621
EQ_2016-05-05_2074.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,769.020572,346.093239,0.410098
EQ_2016-05-05_2081.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,756.032396,347.893655,2.691576
EQ_2016-05-05_2088.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,743.126033,349.672485,5.139002
EQ_2016-05-05_2096.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,730.473516,351.415209,7.704623
EQ_2016-05-05_2103.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,717.609983,353.163188,10.610848
EQ_2016-05-05_2110.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,704.643801,354.906363,13.873240
EQ_2016-05-05_2118.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,692.027594,356.606962,17.312005
EQ_2016-05-05_2125.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,678.760786,358.347862,21.546961
EQ_2016-05-05_2132.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,665.884512,360.043412,26.071513
EQ_2016-05-05_2140.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,653.078631,361.720546,31.133170
EQ_2016-05-05_2147.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,640.326606,363.381001,36.809696
EQ_2016-05-05_2154.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,627.474246,365.036638,43.283903
EQ_2016-05-05_2162.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,614.656840,366.677269,50.420264
EQ_2016-05-05_2169.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,601.860273,368.304204,58.064980
EQ_2016-05-05_2176.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,588.848899,369.934057,66.182746
EQ_2016-05-05_2184.0,false,EquityVolatility/TSLA/0/3M/2000,0.000000,,0.000000,EUR,576.162522,371.529297,73.984298
